,synid,class_name,urls,flickr_urls,imageNet2012_class_id
5584,n03018349,china cabinet,1393,836,495.0
5594,n03020034,chip,1252,642,223.0
5595,n03020416,chip,1271,1225,223.0
5600,n03024333,choke,162,0,944.0
5601,n03024518,choke,253,8,944.0
5606,n03026506,Christmas stocking,1252,1103,496.0
5613,n03028079,church,1329,1262,497.0
5629,n03032252,cinema,1392,1210,498.0
5672,n03041632,cleaver,948,354,499.0
5676,n03042490,cliff dwelling,1597,1558,500.0
5691,n03045337,cloak,1191,593,501.0
5692,n03045698,cloak,1082,591,501.0
5701,n03047690,clog,1106,640,502.0
5760,n03062245,cocktail shaker,1188,353,503.0
5769,n03063599,coffee mug,2252,852,504.0
5770,n03063689,coffeepot,1538,753,505.0
5779,n03065424,coil,1045,911,506.0
5780,n03065708,coil,1,0,506.0
5781,n03066232,coil,5,0,506.0
5814,n03075370,combination lock,1106,526,507.0
5817,n03075768,comforter,1384,1380,750.0
5836,n03080497,compass,1490,527,635.0
5837,n03080633,compass,1218,166,635.0
5850,n03085013,computer keyboard,2225,1397,508.0
5871,n03089624,confectionery,1151,1033,509.0
5892,n03094503,container,1179,660,510.0
5893,n03095699,container ship,1613,1083,510.0
5896,n03096960,control,1608,696,761.0
5911,n03100240,convertible,1887,1226,511.0
5912,n03100346,convertible,1129,443,511.0
5939,n03106722,cord,188,87,401.0
5940,n03106898,cord,1443,436,401.0
5943,n03107716,core,140,1,781.0
5947,n03108853,cork,1815,876,512.0
5949,n03109150,corkscrew,1456,675,512.0
5954,n03110669,cornet,2092,1029,513.0
5973,n03115180,cotton,1490,1452,330.0
5976,n03115762,couch,1362,735,831.0
5977,n03115897,couch,1292,1060,831.0
6005,n03124043,cowboy boot,1269,851,514.0
6006,n03124170,cowboy hat,1349,1293,515.0
6013,n03125870,craft,1365,467,403.0
6014,n03126090,cramp,167,10,5.0
6023,n03127747,crash helmet,1286,756,518.0
6024,n03127925,crate,1113,660,519.0
6028,n03128519,cream,1672,580,928.0
6040,n03131574,crib,1453,703,520.0
6041,n03131669,crib,1279,559,520.0
6046,n03132666,crinoline,1300,535,601.0
6047,n03132776,crinoline,1247,549,601.0
6050,n03133878,Crock Pot,1180,500,521.0
6054,n03134739,croquet ball,843,547,522.0
6057,n03135532,cross,1152,756,918.0
6087,n03141823,crutch,1239,1085,523.0
6105,n03146219,cuirass,1075,391,524.0
6154,n03159640,dais,1054,923,985.0
6164,n03162556,darning needle,279,106,319.0
6217,n03175189,denim,1625,596,608.0
6237,n03180011,desktop computer,1443,738,527.0
6256,n03187595,dial telephone,1025,902,528.0
6259,n03188531,diaper,1163,667,529.0
6260,n03188725,diaper,921,585,529.0
6271,n03192907,die,93,17,194.0
6286,n03196217,digital clock,1097,773,530.0
6291,n03197337,digital watch,1357,470,531.0
6306,n03201208,dining table,2217,1164,532.0
6316,n03203089,dip,1,0,20.0
6319,n03204306,dipper,632,39,20.0
6339,n03207743,dishrag,1634,1614,533.0
6341,n03207941,dishwasher,1367,1045,534.0
6343,n03208938,disk brake,1151,638,535.0
6379,n03216828,dock,857,850,536.0
6383,n03218198,dogsled,1188,779,537.0
6405,n03223299,doormat,1243,830,539.0
6479,n03240683,drilling platform,1175,543,540.0
6489,n03242995,drive,8,0,784.0
6490,n03243218,drive,929,22,784.0
6492,n03244047,driver,1262,465,784.0
6508,n03247495,drove,41,2,609.0
6517,n03250847,drumstick,1278,871,542.0
6522,n03251766,dryer,1385,506,589.0
6529,n03253071,duck,6,0,103.0
6541,n03255030,dumbbell,1611,643,543.0
6557,n03258456,dust cover,376,24,921.0
6558,n03258577,dust cover,502,89,921.0
6561,n03259280,Dutch oven,1313,855,544.0
6562,n03259401,Dutch oven,1179,640,544.0
6563,n03259505,dwelling,1150,893,500.0
6577,n03262809,easel,1213,785,356.0
6608,n03271574,electric fan,1223,771,545.0
6611,n03272010,electric guitar,1639,512,546.0
6615,n03272562,electric locomotive,1217,1030,547.0
6668,n03287733,engine,1797,917,555.0
6669,n03288003,engine,483,413,555.0
6678,n03290653,entertainment center,1555,507,548.0
6681,n03291741,envelope,1240,990,549.0
6682,n03291819,envelope,1023,767,549.0
6683,n03291963,envelope,1230,873,549.0
6695,n03294833,eraser,1250,851,767.0
6707,n03297495,espresso maker,1128,325,550.0
6752,n03314780,face powder,1138,328,551.0
6773,n03320046,fan,1458,678,545.0
6798,n03325584,feather boa,1530,1477,552.0
6830,n03333129,field glass,1220,138,447.0
6849,n03336839,file,205,4,553.0
6850,n03337140,file,1701,791,553.0
6858,n03339643,filter,717,189,686.0
6859,n03340009,filter,388,68,686.0
6880,n03344393,fireboat,1365,978,554.0
6885,n03345487,fire engine,1356,1091,555.0
6890,n03347037,fire screen,909,195,556.0
6917,n03354903,flag,1279,987,557.0
6920,n03355925,flagpole,1234,957,557.0
6981,n03372029,flute,1687,856,558.0
6982,n03372549,flute,1347,797,558.0
7000,n03376595,folding chair,1537,760,559.0
7008,n03378765,football,68,55,560.0
7009,n03379051,football helmet,1230,1161,560.0
7037,n03384167,fork,324,50,561.0
7038,n03384352,forklift,1465,820,561.0
7050,n03388183,fountain pen,1526,996,563.0
7052,n03388549,four-poster,1346,535,564.0
7073,n03393912,freight car,1311,1143,565.0
7078,n03394916,French horn,1710,835,566.0
7090,n03397532,frill,1384,1371,43.0
7098,n03400231,frying pan,1171,714,567.0
7111,n03404251,fur coat,1398,983,568.0
7113,n03404449,furnace,489,89,807.0
7165,n03417042,garbage truck,1155,640,569.0
7180,n03421117,garter,493,243,57.0
7198,n03424325,gasmask,1242,757,570.0
7204,n03425413,gas pump,2189,1550,571.0
7248,n03436656,gig,417,26,476.0
7249,n03436772,gig,35,22,476.0
7250,n03436891,gig,816,524,476.0
7251,n03436990,gig,126,118,476.0
7280,n03443371,goblet,1378,817,572.0
7283,n03444034,go-kart,1340,1060,573.0
7286,n03445777,golf ball,1181,867,574.0
7287,n03445924,golfcart,1447,1041,575.0
7293,n03447447,gondola,1172,909,576.0
7318,n03452741,grand piano,1318,1060,579.0
7341,n03457902,greenhouse,1307,1248,580.0
7345,n03459591,grill,195,29,581.0
7346,n03459775,grille,1597,1546,581.0
7354,n03461385,grocery store,1178,910,582.0
7360,n03462747,ground,112,107,302.0
7366,n03464467,guard,84,56,556.0
7382,n03467068,guillotine,804,631,583.0
7427,n03476684,hair slide,859,277,584.0
7428,n03476991,hair spray,813,563,585.0
7435,n03478589,half track,1270,711,586.0
7448,n03482128,hammerhead,46,1,4.0
7450,n03482405,hamper,906,359,588.0
7455,n03483316,hand blower,1285,756,589.0
7467,n03485407,hand-held computer,905,12,590.0
7469,n03485794,handkerchief,1159,912,591.0
7497,n03492542,hard disc,1186,674,592.0
7502,n03494278,harmonica,1503,725,593.0
7514,n03496892,harvester,1446,586,595.0
7523,n03498962,hatchet,849,215,596.0
7584,n03511175,hedge,1221,880,334.0
7651,n03527444,holster,1153,626,597.0
7652,n03527565,holster,1283,215,597.0
7661,n03529860,home theater,930,762,598.0
7664,n03530642,honeycomb,1045,694,599.0
7671,n03532342,hook,1164,541,600.0
7672,n03532672,hook,1660,543,600.0
7673,n03532919,hook,572,360,600.0
7679,n03534580,hoopskirt,983,402,601.0
7685,n03535780,horizontal bar,1137,530,602.0
7696,n03538406,horse cart,1211,920,603.0
7730,n03544143,hourglass,1176,533,604.0
7741,n03547054,hovel,1465,740,792.0
7861,n03580615,internet,139,123,916.0
7871,n03584254,iPod,1283,998,605.0
7891,n03589791,jacket,1310,601,921.0
7892,n03590306,jacket,1400,859,921.0
7893,n03590475,jacket,345,188,921.0
7901,n03591901,jag,1,1,290.0
7914,n03594734,jean,1905,1107,608.0
7915,n03594945,jeep,1415,1007,609.0
7919,n03595523,jersey,1245,517,610.0
7920,n03595614,jersey,1331,884,610.0
7921,n03595860,jet,1232,885,460.0
7930,n03598385,jig,226,13,611.0
7931,n03598515,jig,745,60,611.0
7933,n03598783,jigsaw,338,76,611.0
7934,n03598930,jigsaw puzzle,1145,1132,611.0
7935,n03599486,jinrikisha,1100,681,612.0
7949,n03602883,joystick,1656,720,613.0
7986,n03610992,kerchief,148,125,591.0
8009,n03617480,kimono,1267,996,614.0
8036,n03623198,knee pad,1146,439,615.0
8038,n03623556,knife,1387,883,623.0
8039,n03624134,knife,1855,762,623.0
8051,n03627232,knot,1114,633,616.0
8065,n03630383,lab coat,1365,744,617.0
8074,n03633091,ladle,1817,801,618.0
8090,n03637318,lampshade,1615,1342,619.0
8105,n03640988,lantern,1356,639,607.0
8107,n03641947,lap,6,1,620.0
8112,n03642806,laptop,1387,1286,620.0
8140,n03649909,lawn mower,2130,905,621.0
8157,n03654576,leg,946,464,70.0
8158,n03654826,leg,407,128,70.0
8162,n03656484,lens,1297,825,622.0
8163,n03656957,lens,1338,755,622.0
8164,n03657121,lens cap,1386,1358,622.0
8168,n03658185,letter opener,1170,250,623.0
8177,n03660909,library,1219,692,624.0
8178,n03661043,library,1305,679,624.0
8182,n03662601,lifeboat,1243,938,625.0
8198,n03666591,lighter,1599,770,626.0
8212,n03670208,limousine,1693,1042,627.0
8214,n03672521,linen,403,288,40.0
8220,n03674270,link,465,102,489.0
8242,n03680355,Loafer,965,501,630.0
8255,n03683606,locker,1366,1222,838.0
8286,n03690473,lorry,658,607,867.0
8288,n03690938,lotion,1232,732,631.0
8289,n03691459,loudspeaker,1518,551,632.0
8295,n03692522,loupe,1406,418,633.0
8318,n03697007,lumbermill,1155,575,634.0
8350,n03705379,magnet,189,59,635.0
8352,n03706229,magnetic compass,882,114,635.0
8368,n03709823,mailbag,1452,638,636.0
8369,n03709960,mailbag,186,153,636.0
8371,n03710193,mailbox,1280,1224,637.0
8400,n03717447,manhole,1599,1583,640.0
8401,n03717622,manhole cover,1623,1590,640.0
8416,n03720891,maraca,1333,615,641.0
8419,n03721384,marimba,1603,1036,642.0
8453,n03728437,match,1053,812,644.0
8454,n03728982,match,496,355,644.0
8460,n03729826,matchstick,922,633,644.0
8474,n03732458,maxi,973,227,385.0
8477,n03733131,maypole,1159,796,645.0
8478,n03733281,maze,1232,838,646.0
8482,n03733805,measuring cup,1076,411,647.0
8498,n03742115,medicine chest,1117,780,648.0
8500,n03743016,megalith,1425,1299,649.0
8502,n03743902,memorial,1319,552,458.0
8539,n03759954,microphone,2089,993,650.0
8543,n03761084,microwave,1546,906,651.0
8552,n03763968,military uniform,1431,1375,652.0
8555,n03764736,milk can,951,448,653.0
8560,n03765561,mill,920,149,634.0
8580,n03769881,minibus,1292,737,654.0
8584,n03770439,miniskirt,1522,1059,655.0
8586,n03770679,minivan,1555,731,656.0
8588,n03770954,mink,1351,516,357.0
8590,n03772269,mint,517,499,110.0
8593,n03773035,mirror,1218,824,475.0
8598,n03775071,mitten,1348,1335,658.0
8601,n03775546,mixing bowl,1323,812,659.0
8606,n03776460,mobile home,1172,672,660.0
8610,n03777568,Model T,1268,993,661.0
8611,n03777754,modem,1261,497,662.0
8622,n03781244,monastery,783,344,663.0
8626,n03781787,monitor,1399,787,664.0
8627,n03782006,monitor,1227,633,664.0
8628,n03782190,monitor,1506,783,664.0
8639,n03785016,moped,1264,878,665.0
8650,n03787032,mortarboard,1379,932,667.0
8653,n03788195,mosque,1144,561,668.0
8654,n03788365,mosquito net,1340,873,669.0
8662,n03789946,motor,1777,622,670.0
8667,n03791053,motor scooter,1427,902,670.0
8672,n03792782,mountain bike,1641,825,671.0
8673,n03792972,mountain tent,1157,786,672.0
8676,n03794056,mousetrap,858,500,674.0
8684,n03796401,moving van,676,314,675.0
8692,n03797390,mug,1573,960,504.0
8718,n03802973,mute,4,0,249.0
8720,n03803284,muzzle,907,348,676.0
8731,n03809211,nard,380,49,247.0
8738,n03811295,nautilus,1161,311,117.0
8750,n03814639,neck brace,1121,510,678.0
8753,n03814906,necklace,1341,1279,679.0
8759,n03816136,needle,854,454,319.0
8760,n03816394,needle,284,31,319.0
8786,n03823111,nib,1630,1209,654.0
8801,n03825788,nipple,1059,320,680.0
8815,n03832673,notebook,2020,775,681.0
8823,n03836062,nursery,1104,934,580.0
8831,n03837869,obelisk,1479,1418,682.0
8835,n03838899,oboe,1333,648,683.0
8842,n03840681,ocarina,1433,439,684.0
8845,n03841143,odometer,1951,1224,685.0
8858,n03843555,oil filter,1097,173,686.0
8884,n03849814,opera,1288,1276,447.0
8916,n03857828,oscilloscope,1711,694,688.0
8951,n03866082,overskirt,567,99,689.0
8954,n03868242,oxcart,1186,669,690.0
8959,n03868863,oxygen mask,1137,430,691.0
8970,n03871628,packet,1181,669,692.0
8981,n03874293,paddlewheel,1166,720,694.0
8983,n03874599,padlock,1267,1172,695.0
8989,n03876231,paintbrush,1181,927,696.0
8991,n03877472,pajama,1207,712,697.0
8992,n03877674,pajama,900,414,697.0
9019,n03884397,panpipe,1093,383,699.0
9039,n03887697,paper towel,1180,568,700.0
9042,n03888257,parachute,1229,767,701.0
9043,n03888605,parallel bars,1048,474,702.0
9056,n03891251,park bench,1233,916,703.0
9057,n03891332,parking meter,1314,1280,704.0
9070,n03895866,passenger car,986,608,705.0
9087,n03899768,patio,637,608,706.0
9098,n03902125,pay-phone,1662,1473,707.0
9106,n03903868,pedestal,1152,347,708.0
9130,n03908618,pencil box,1361,1225,709.0
9131,n03908714,pencil sharpener,1268,663,710.0
9155,n03916031,perfume,1313,737,711.0
9171,n03920288,Petri dish,951,307,712.0
9175,n03920867,pew,1202,907,878.0
9183,n03924679,photocopier,1236,392,713.0
9199,n03929855,pickelhaube,796,194,715.0
9201,n03930313,picket fence,1587,1567,716.0
9204,n03930630,pickup,1443,919,717.0
9220,n03935335,piggy bank,1194,840,719.0
9224,n03937543,pill bottle,1142,608,720.0
9228,n03938244,pillow,1295,1265,721.0
9249,n03942813,ping-pong ball,965,742,722.0
9258,n03944138,pinwheel,1175,669,723.0
9259,n03944341,pinwheel,785,669,723.0
9270,n03947888,pirate,634,513,724.0
9278,n03950228,pitcher,1871,893,725.0
9297,n03955809,planetarium,341,267,727.0
9298,n03955941,planetarium,5,3,727.0
9299,n03956157,planetarium,881,686,727.0
9309,n03958227,plastic bag,922,476,728.0
9321,n03961711,plate rack,645,165,729.0
9323,n03961939,platform,694,673,540.0
9324,n03962525,platform,4,1,540.0
9325,n03962685,platform,1,0,540.0
9351,n03970156,plunger,915,663,731.0
9359,n03972524,pocket,74,51,893.0
9374,n03976268,Polaroid,6,5,732.0
9375,n03976467,Polaroid camera,1243,916,732.0
9381,n03977966,police van,1200,903,734.0
9391,n03980874,poncho,1269,1007,735.0
9400,n03982430,pool table,1932,723,736.0
9404,n03983396,pop bottle,1269,1250,737.0
9456,n03994008,powder,880,229,551.0
9463,n03995372,power drill,1394,341,740.0
9474,n03998194,prayer rug,1591,490,741.0
9497,n04003856,print,1931,982,742.0
9500,n04004475,printer,1791,695,742.0
9501,n04004767,printer,1920,889,742.0
9504,n04005630,prison,916,601,743.0
9513,n04008634,projectile,1464,719,744.0
9514,n04009552,projector,1474,716,745.0
9515,n04009801,projector,1217,591,745.0
9544,n04019541,puck,1275,507,746.0
9556,n04021798,pump,506,58,571.0
9557,n04022332,pump,1194,828,571.0
9563,n04023249,punch,121,33,747.0
9566,n04023962,punching bag,1229,576,747.0
9575,n04026417,purse,1409,726,748.0
9607,n04033901,quill,1103,499,749.0
9608,n04033995,quilt,1499,728,750.0
9623,n04037443,racer,1552,1005,751.0
9632,n04039381,racket,1235,748,752.0
9655,n04044716,radio telescope,1328,913,755.0
9659,n04045397,raft,1395,1236,403.0
9667,n04046974,rail fence,1404,928,912.0
9673,n04049303,rain barrel,1671,817,756.0
9688,n04052442,ranch,1216,949,115.0
9739,n04065272,recreational vehicle,1433,717,757.0
9751,n04067472,reel,1133,623,758.0
9752,n04067658,reel,1023,494,758.0
9758,n04069276,reflector,677,187,755.0
9759,n04069434,reflex camera,1340,742,759.0
9766,n04070727,refrigerator,1391,877,760.0
9777,n04074963,remote control,1356,764,761.0
9800,n04080833,respirator,1266,589,570.0
9801,n04081281,restaurant,1201,619,762.0
9819,n04086273,revolver,1223,742,763.0
9830,n04088441,ricer,256,34,51.0
9832,n04088797,ride,276,168,982.0
9846,n04093157,ringlet,305,115,322.0
9862,n04096066,road,1288,1249,671.0
9873,n04098513,rocker,1336,523,765.0
9874,n04098795,rocker,336,164,765.0
9878,n04099969,rocking chair,1456,506,765.0
9922,n04111414,rotisserie,1063,654,766.0
9923,n04111531,rotisserie,1046,640,766.0
9931,n04112752,rouge,1155,156,629.0
9955,n04116512,rubber eraser,1051,721,767.0
9960,n04118538,rugby ball,1508,1321,768.0
9961,n04118635,ruin,1518,1490,294.0
9969,n04120489,running shoe,1546,1113,770.0
9980,n04122578,sabot,1159,758,502.0
9982,n04122825,sack,1168,823,414.0
9983,n04123026,sack,636,16,414.0
10009,n04127249,safety pin,1215,734,772.0
10030,n04131690,saltshaker,1473,1246,773.0
10039,n04133789,sandal,1382,919,774.0
10051,n04136333,sarong,1252,613,775.0
10070,n04140777,sawmill,305,185,634.0
10072,n04141076,sax,1673,820,776.0
10074,n04141327,scabbard,1231,406,777.0
10076,n04141838,scale,588,248,778.0
10077,n04141975,scale,1340,834,778.0
10090,n04146050,school,1212,800,779.0
10093,n04146614,school bus,1303,899,779.0
10096,n04147183,schooner,1235,727,780.0
10097,n04147291,schooner,6,2,780.0
10107,n04149374,scooter,485,13,670.0
10108,n04149813,scoreboard,1322,389,781.0
10123,n04154565,screwdriver,1425,742,784.0
10157,n04162706,seat belt,1153,971,785.0
10225,n04179913,sewing machine,2078,1295,786.0
10226,n04180063,sewing needle,759,562,319.0
10237,n04183957,shank,164,50,141.0
10238,n04184095,shank,397,102,141.0
10243,n04185071,sharpener,618,444,710.0
10254,n04187547,shed,1305,1131,935.0
10266,n04190464,shell,26,0,116.0
10267,n04190747,shell,247,204,116.0
10268,n04190997,shell,640,293,116.0
10275,n04192698,shield,1155,672,787.0
10276,n04192858,shield,824,394,787.0
10303,n04200800,shoe shop,1201,1081,788.0
10306,n04201297,shoji,1403,591,789.0
10313,n04204238,shopping basket,1137,483,790.0
10314,n04204347,shopping cart,1423,1258,791.0
10331,n04208210,shovel,1222,689,792.0
10332,n04208427,shovel,1222,701,792.0
10336,n04209133,shower cap,1074,680,793.0
10337,n04209239,shower curtain,1913,903,794.0
10351,n04211857,shuttle,1130,588,812.0
10352,n04211970,shuttle,644,231,812.0
10369,n04215910,sidewinder,133,66,68.0
10380,n04219424,silk,526,48,201.0
10422,n04229816,ski mask,1105,825,796.0
10450,n04235860,sleeping bag,1195,671,797.0
10462,n04238763,slide rule,1230,339,798.0
10464,n04239074,sliding door,1191,887,799.0
10476,n04241394,slipper,401,176,986.0
10517,n04250850,snorkel,1266,640,801.0
10518,n04251144,snorkel,1200,779,801.0
10521,n04252077,snowmobile,1338,949,802.0
10522,n04252225,snowplow,1096,646,803.0
10531,n04254120,soap dispenser,1308,571,804.0
10533,n04254680,soccer ball,1345,1129,805.0
10534,n04254777,sock,1312,1262,806.0
10550,n04258138,solar dish,1142,248,807.0
10558,n04259630,sombrero,1139,767,808.0
10573,n04263257,soup bowl,1371,1044,809.0
10582,n04264628,space bar,632,111,810.0
10585,n04265275,space heater,949,352,811.0
10588,n04266014,space shuttle,1149,621,812.0
10609,n04269822,spat,1567,759,813.0
10610,n04269944,spatula,1466,599,813.0
10611,n04270147,spatula,1173,835,813.0
10625,n04273569,speedboat,1153,832,814.0
10634,n04275548,spider web,1519,1492,815.0
10635,n04275661,spike,1211,174,998.0
10636,n04275904,spike,127,117,998.0
10637,n04277352,spindle,1322,1305,816.0
10638,n04277493,spindle,1144,644,816.0
10639,n04277669,spindle,23,19,816.0
10676,n04285008,sports car,1165,591,817.0
10682,n04286575,spotlight,1622,465,818.0
10725,n04296562,stage,1233,1160,819.0
10775,n04310018,steam locomotive,1187,947,820.0
10781,n04311004,steel arch bridge,1055,723,821.0
10782,n04311174,steel drum,1189,781,822.0
10806,n04317175,stethoscope,1402,722,823.0
10812,n04318787,stile,890,674,877.0
10824,n04322026,stock,1526,557,496.0
10829,n04323819,stocking,1272,180,496.0
10836,n04325704,stole,1191,774,824.0
10839,n04326547,stone wall,1289,1148,825.0
10847,n04328186,stopwatch,1359,497,826.0
10858,n04330267,stove,1750,712,827.0
10859,n04330340,stove,1215,1168,827.0
10870,n04332243,strainer,1280,716,828.0
10880,n04335435,streetcar,1309,867,829.0
10883,n04336792,stretcher,1399,581,830.0
10884,n04337157,stretcher,3,0,830.0
10901,n04341686,structure,1190,1070,649.0
10907,n04344873,studio couch,1354,315,831.0
10913,n04346328,stupa,1516,1395,832.0
10920,n04347754,submarine,1071,553,833.0
10946,n04355338,sundial,1137,727,835.0
10951,n04356056,sunglasses,1297,963,837.0
10956,n04357314,sunscreen,1216,614,838.0
10997,n04366116,suspension,999,228,839.0
10998,n04366367,suspension bridge,1317,1235,839.0
11002,n04367480,swab,1239,707,840.0
11003,n04367746,swab,670,367,840.0
11017,n04370456,sweatshirt,1174,528,841.0
11022,n04371430,swimming trunks,1052,633,842.0
11024,n04371774,swing,2150,864,843.0
11026,n04372370,switch,1620,593,844.0
11032,n04373894,sword,1764,844,918.0
11044,n04376876,syringe,1291,1251,845.0
11054,n04380533,table lamp,1567,641,846.0
11068,n04383130,tack,702,512,403.0
11109,n04392985,tape player,1073,541,848.0
11136,n04398044,teapot,1590,1487,849.0
11163,n04403638,telescope,1780,988,755.0
11167,n04404412,television,1110,535,851.0
11185,n04409515,tennis ball,1162,762,852.0
11197,n04411264,tent,1759,808,672.0
11220,n04417672,thatch,1222,1180,853.0
11222,n04418357,theater curtain,1158,629,854.0
11241,n04423845,thimble,1062,603,855.0
11254,n04428191,thresher,848,313,856.0
11258,n04429376,throne,1000,581,857.0
11278,n04435653,tile roof,1408,1294,858.0
11282,n04436185,timber,1255,646,269.0
11283,n04436329,timber,1256,666,269.0
11297,n04439585,tine,1519,457,583.0
11305,n04442312,toaster,1360,956,859.0
11310,n04443257,tobacco shop,726,397,860.0
11330,n04447861,toilet seat,1319,646,861.0
11348,n04451818,tool,1355,880,477.0
11366,n04456115,torch,1315,471,862.0
11367,n04456472,torpedo,198,89,5.0
11368,n04456734,torpedo,290,195,5.0
11369,n04457157,torpedo,478,298,5.0
11376,n04458633,totem pole,1252,1212,863.0
11385,n04460130,tower,1311,888,900.0
11388,n04461696,tow truck,1284,603,864.0
11391,n04462240,toyshop,878,681,865.0
11403,n04467099,trailer,1023,429,867.0
11404,n04467307,trailer,1363,665,867.0
11406,n04467665,trailer truck,1300,811,867.0
11428,n04474466,trap,653,417,674.0
11436,n04476259,tray,1299,591,868.0
11447,n04478657,trench,1,1,869.0
11448,n04479046,trench coat,1252,556,869.0
11465,n04482393,tricycle,1201,920,870.0
11468,n04483307,trimaran,1272,673,871.0
11472,n04485082,tripod,1180,632,872.0
11477,n04486054,triumphal arch,1287,1125,873.0
11482,n04487081,trolleybus,1473,1233,874.0
11483,n04487394,trombone,1675,792,875.0
11498,n04491769,trunk,1293,517,842.0
11519,n04497442,tun,611,201,270.0
11535,n04501370,turnstile,1192,756,877.0
11553,n04504141,two-piece,1438,534,445.0
11555,n04505036,typewriter,1824,944,878.0
11557,n04505470,typewriter keyboard,1276,533,878.0
11559,n04506289,uke,1610,648,943.0
11565,n04507155,umbrella,1341,1270,879.0
11574,n04509417,unicycle,1229,953,880.0
11575,n04509592,uniform,411,215,652.0
11583,n04515003,upright,1193,525,881.0
11593,n04517823,vacuum,1644,850,882.0
11610,n04522168,vase,1874,800,883.0
11611,n04523525,vault,1224,805,884.0
11612,n04523831,vault,1027,600,884.0
11616,n04524716,velocipede,434,166,870.0
11618,n04525038,velvet,917,200,885.0
11620,n04525305,vending machine,2008,1286,886.0
11635,n04530566,vessel,1320,980,510.0
11636,n04531098,vessel,1028,501,510.0
11639,n04532106,vestment,1144,610,887.0
11642,n04532670,viaduct,1230,1115,888.0
11663,n04536866,violin,1330,843,889.0
11673,n04540053,volleyball,1283,910,890.0
11688,n04542943,waffle iron,1132,431,891.0
11703,n04546194,walking stick,1148,506,313.0
11708,n04548280,wall clock,1209,717,892.0
11709,n04548362,wallet,1395,814,893.0
11714,n04549919,ward,1133,599,894.0
11715,n04550184,wardrobe,2149,757,894.0
11720,n04552348,warplane,1100,870,895.0
11725,n04553703,washbasin,1526,898,896.0
11742,n04557648,water bottle,1230,874,898.0
11759,n04560804,water jug,1376,611,899.0
11770,n04562935,water tower,1175,987,900.0
11806,n04572935,well,308,238,500.0
11833,n04578801,whisk,169,23,901.0
11834,n04578934,whisk,1250,876,901.0
11836,n04579145,whiskey jug,565,47,901.0
11838,n04579432,whistle,1116,348,902.0
11839,n04579667,whistle,1353,169,902.0
11855,n04584207,wig,1593,962,903.0
11864,n04586581,winder,1048,571,68.0
11875,n04589890,window screen,879,824,904.0
11877,n04590129,window shade,681,483,905.0
11883,n04591157,Windsor tie,874,211,906.0
11888,n04591713,wine bottle,1258,1202,907.0
11916,n04596742,wok,1121,680,909.0
11922,n04597913,wooden spoon,1219,880,910.0
11929,n04599235,wool,1640,819,911.0
11943,n04604644,worm fence,1126,695,912.0
11948,n04605446,wrap,45,37,921.0
11978,n04612373,yawl,803,459,914.0
11979,n04612504,yawl,1067,544,914.0
11983,n04613696,yurt,1166,974,915.0
12023,n04965179,orange,1598,1584,950.0
12025,n04965661,yellow,1353,1345,986.0
12043,n04970398,indigo,1214,1172,14.0
12048,n04971313,rose,1213,958,989.0
12049,n04972350,chestnut,1256,1135,990.0
12050,n04972451,chocolate,1350,1346,960.0
12053,n04973291,beige,811,421,931.0
12073,n05238282,skin,1430,765,439.0
12092,n05261310,thatch,1404,1069,853.0
12106,n05302499,mouth,1287,929,593.0
12107,n05314075,canthus,390,13,392.0
12158,n05716342,lemon,1252,949,951.0
12200,n06275353,wireless,771,322,754.0
12207,n06277280,television,1232,616,851.0
12213,n06359193,web site,1840,870,916.0
12228,n06596364,comic book,1198,638,917.0
12233,n06613686,movie,40,39,498.0
12238,n06785654,crossword puzzle,1218,971,918.0
12240,n06794110,street sign,1411,786,919.0
12241,n06874185,traffic light,1240,1206,920.0
12246,n07248320,book jacket,738,377,921.0
12247,n07273802,cairn,1137,754,192.0
12282,n07565083,menu,1358,1352,922.0
12283,n07565161,chow,1409,1230,260.0
12340,n07577374,bite,1284,1216,69.0
12358,n07581775,cocktail,1273,683,503.0
12364,n07582609,dip,1268,748,20.0
12368,n07583066,guacamole,1229,964,924.0
12369,n07583197,soup,438,407,809.0
12372,n07584110,consomme,1178,491,925.0
12421,n07590611,hot pot,798,406,926.0
12462,n07596684,sweet,1246,832,684.0
12463,n07596967,confectionery,1211,907,509.0
12466,n07597365,candy,1346,1339,509.0
12495,n07602650,center,2,1,548.0
12508,n07606278,mint,8,5,110.0
12518,n07607605,lollipop,1318,1311,929.0
12559,n07613480,trifle,1231,858,927.0
12565,n07614500,ice cream,1338,1319,928.0
12574,n07615774,ice lolly,1384,1307,929.0
12600,n07619004,custard,977,643,956.0
12631,n07642933,jam,1310,891,697.0
12634,n07643306,jelly,1242,634,107.0
12667,n07680932,bun,1248,1068,14.0
12687,n07684084,French loaf,1035,364,930.0
12708,n07686873,toast,1401,1112,859.0
12754,n07693725,bagel,1277,998,931.0
12767,n07695742,pretzel,1263,837,932.0
12777,n07697313,cheeseburger,1222,987,933.0
12779,n07697537,hotdog,1257,848,934.0
12782,n07698250,gyro,886,524,993.0
12786,n07698782,wrap,877,332,921.0
12787,n07700003,spaghetti,1200,679,940.0
12811,n07711569,mashed potato,1245,1062,935.0
12815,n07712063,sweet potato,599,300,684.0
12818,n07712559,chip,838,589,223.0
12831,n07714571,head cabbage,934,414,936.0
12834,n07714990,broccoli,1224,1078,937.0
